experiment_name,concurrency,payload_file,errors,successes,error_rate,all_prompts_token_count,prompt_token_count_mean,prompt_token_throughput,all_completions_token_count,completion_token_count_mean,completion_token_throughput,transactions,transactions_per_second,transactions_per_minute,latency_mean,instance_type,EndpointName,ModelName,Image,S3Uri,HF_MODEL_ID,HUGGING_FACE_HUB_TOKEN,MAX_BATCH_TOTAL_TOKENS,MAX_INPUT_LENGTH,MAX_TOTAL_TOKENS,SAGEMAKER_CONTAINER_LOG_LEVEL,SAGEMAKER_REGION,SM_NUM_GPUS,OPTION_DTYPE,OPTION_MAX_ROLLING_BATCH_SIZE,OPTION_NEURON_OPTIMIZE_LEVEL,OPTION_N_POSITIONS,OPTION_ROLLING_BATCH,OPTION_TENSOR_PARALLEL_DEGREE,SAGEMAKER_MODEL_SERVER_TIMEOUT,SAGEMAKER_MODEL_SERVER_WORKERS,SAGEMAKER_PROGRAM,SAGEMAKER_TS_RESPONSE_TIMEOUT,ENDPOINT_SERVER_TIMEOUT,MODEL_CACHE_ROOT,SAGEMAKER_ENV
llama2-13b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_3000-4000.jsonl,[],1,0.0,3014,3014.0,2587.28,3042,3042.0,2611.32,1,0.86,51,1.1336615669970342,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-21-01-43-23-143,huggingface-pytorch-tgi-inference-2024-01-21-01-43-16-526,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,,meta-llama/Llama-2-13b-chat-hf,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,8192,4090,4096,20,us-east-1,8,,,,,,,,,,,,,
llama2-13b-g5.24xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,6,payload_en_3000-4000.jsonl,[],6,0.0,20390,3398.3333333333335,1407.08,416,69.33333333333333,28.71,6,0.41,24,10.747266521833808,ml.g5.24xlarge,llama-2-13b-g5-24xlarge-1705802992,meta-textgeneration-llama-2-13b-2024-01-21-02-09-52-770,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-13b/artifacts/inference-prepack/v1.0.0/,/opt/ml/model,,,4095,4096,,,4,,,,,,,,1,inference.py,,3600,/opt/ml/model,1
llama2-13b-inf2.48xlarge-djl-0.24.0-neuronx-sdk-2.14.1-bs=4-tpd=24,2,payload_en_3000-4000.jsonl,[],2,0.0,7056,3528.0,5338.03,16,8.0,12.1,2,1.51,90,1.2673182475009526,ml.inf2.48xlarge,llama-2-13b-inf2-48xlarge-1705801395,meta-textgenerationneuron-llama-2-13b-f-2024-01-21-01-43-15-774,763104351884.dkr.ecr.us-east-1.amazonaws.com/djl-inference:0.26.0-neuronx-sdk2.16.0,s3://jumpstart-private-cache-prod-us-east-1/meta-textgenerationneuron/meta-textgenerationneuron-llama-2-13b-f/artifacts/inference-prepack/v1.0.0/,,,,,,,,,fp16,4,2,4096,auto,24,120,1,inference.py,120,,,
llama2-13b-inf2.24xlarge-djl-0.24.0-neuronx-sdk-2.14.1-bs=4-tpd=12,1,payload_en_2000-3000.jsonl,[],1,0.0,2711,2711.0,2973.51,8,8.0,8.77,1,1.1,66,0.8893181029998232,ml.inf2.24xlarge,llama-2-13b-inf2-24xlarge-1705801395,meta-textgenerationneuron-llama-2-13b-f-2024-01-21-01-43-15-819,763104351884.dkr.ecr.us-east-1.amazonaws.com/djl-inference:0.26.0-neuronx-sdk2.16.0,s3://jumpstart-private-cache-prod-us-east-1/meta-textgenerationneuron/meta-textgenerationneuron-llama-2-13b-f/artifacts/inference-prepack/v1.0.0/,,,,,,,,,fp16,4,2,4096,auto,12,120,1,inference.py,120,,,
llama2-13b-p4d.24xlarge-tgi-inference-2.0.1-tgi0.9.3-gpu-py39-cu118,1,payload_en_2000-3000.jsonl,[],1,0.0,2500,2500.0,2766.73,2522,2522.0,2791.08,1,1.11,66,0.8546509869993315,ml.p4d.24xlarge,huggingface-pytorch-tgi-inference-2024-01-21-01-43-23-143,huggingface-pytorch-tgi-inference-2024-01-21-01-43-16-526,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi0.9.3-gpu-py39-cu118-ubuntu20.04,,meta-llama/Llama-2-13b-chat-hf,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,8192,4090,4096,20,us-east-1,8,,,,,,,,,,,,,
llama2-13b-g5.48xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,2,payload_en_2000-3000.jsonl,[],2,0.0,4897,2448.5,728.28,204,102.0,30.34,2,0.3,18,6.705243070999131,ml.g5.48xlarge,llama-2-13b-g5-48xlarge-1705802992,meta-textgeneration-llama-2-13b-2024-01-21-02-09-52-767,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-13b/artifacts/inference-prepack/v1.0.0/,/opt/ml/model,,,4095,4096,,,8,,,,,,,,1,inference.py,,3600,/opt/ml/model,1
llama2-13b-inf2.48xlarge-djl-0.24.0-neuronx-sdk-2.14.1-bs=4-tpd=24,2,payload_en_2000-3000.jsonl,[],2,0.0,4554,2277.0,2388.75,61,30.5,32.0,2,1.05,63,1.7145303020006395,ml.inf2.48xlarge,llama-2-13b-inf2-48xlarge-1705801395,meta-textgenerationneuron-llama-2-13b-f-2024-01-21-01-43-15-774,763104351884.dkr.ecr.us-east-1.amazonaws.com/djl-inference:0.26.0-neuronx-sdk2.16.0,s3://jumpstart-private-cache-prod-us-east-1/meta-textgenerationneuron/meta-textgenerationneuron-llama-2-13b-f/artifacts/inference-prepack/v1.0.0/,,,,,,,,,fp16,4,2,4096,auto,24,120,1,inference.py,120,,,
llama2-13b-inf2.24xlarge-djl-0.24.0-neuronx-sdk-2.14.1-bs=4-tpd=12,4,payload_en_1000-2000.jsonl,[],4,0.0,6398,1599.5,934.81,316,79.0,46.17,4,0.58,34,5.935742469750949,ml.inf2.24xlarge,llama-2-13b-inf2-24xlarge-1705801395,meta-textgenerationneuron-llama-2-13b-f-2024-01-21-01-43-15-819,763104351884.dkr.ecr.us-east-1.amazonaws.com/djl-inference:0.26.0-neuronx-sdk2.16.0,s3://jumpstart-private-cache-prod-us-east-1/meta-textgenerationneuron/meta-textgenerationneuron-llama-2-13b-f/artifacts/inference-prepack/v1.0.0/,,,,,,,,,fp16,4,2,4096,auto,12,120,1,inference.py,120,,,
llama2-13b-g5.24xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_2000-3000.jsonl,[],1,0.0,2101,2101.0,565.88,102,102.0,27.47,1,0.27,16,3.6977439139955095,ml.g5.24xlarge,llama-2-13b-g5-24xlarge-1705802992,meta-textgeneration-llama-2-13b-2024-01-21-02-09-52-770,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-13b/artifacts/inference-prepack/v1.0.0/,/opt/ml/model,,,4095,4096,,,4,,,,,,,,1,inference.py,,3600,/opt/ml/model,1
llama2-13b-g5.24xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_1000-2000.jsonl,[],1,0.0,1746,1746.0,1410.52,19,19.0,15.35,1,0.81,48,1.2294983789979597,ml.g5.24xlarge,llama-2-13b-g5-24xlarge-1705802992,meta-textgeneration-llama-2-13b-2024-01-21-02-09-52-770,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-13b/artifacts/inference-prepack/v1.0.0/,/opt/ml/model,,,4095,4096,,,4,,,,,,,,1,inference.py,,3600,/opt/ml/model,1
llama2-13b-inf2.48xlarge-djl-0.24.0-neuronx-sdk-2.14.1-bs=4-tpd=24,2,payload_en_2000-3000.jsonl,[],2,0.0,4886,2443.0,3005.21,47,23.5,28.91,2,1.23,73,1.5739383995023672,ml.inf2.48xlarge,llama-2-13b-inf2-48xlarge-1705801395,meta-textgenerationneuron-llama-2-13b-f-2024-01-21-01-43-15-774,763104351884.dkr.ecr.us-east-1.amazonaws.com/djl-inference:0.26.0-neuronx-sdk2.16.0,s3://jumpstart-private-cache-prod-us-east-1/meta-textgenerationneuron/meta-textgenerationneuron-llama-2-13b-f/artifacts/inference-prepack/v1.0.0/,,,,,,,,,fp16,4,2,4096,auto,24,120,1,inference.py,120,,,
llama2-13b-g5.24xlarge-huggingface-pytorch-tgi-inference-2.0.1-tgi1.1.0,1,payload_en_1000-2000.jsonl,[],1,0.0,1373,1373.0,443.8,102,102.0,32.97,1,0.32,19,3.0824890400035656,ml.g5.24xlarge,llama-2-13b-g5-24xlarge-1705802992,meta-textgeneration-llama-2-13b-2024-01-21-02-09-52-770,763104351884.dkr.ecr.us-east-1.amazonaws.com/huggingface-pytorch-tgi-inference:2.0.1-tgi1.1.0-gpu-py39-cu118-ubuntu20.04,s3://jumpstart-private-cache-prod-us-east-1/meta-textgeneration/meta-textgeneration-llama-2-13b/artifacts/inference-prepack/v1.0.0/,/opt/ml/model,,,4095,4096,,,4,,,,,,,,1,inference.py,,3600,/opt/ml/model,1
